
2024/11/27 (10:43:51) | ===> btop++ v.1.4.0
2024/11/27 (10:43:51) | WARNING: Intel GPU: Failed to initialize PMU

2024/11/27 (11:20:51) | ===> btop++ v.1.4.0
2024/11/27 (11:20:51) | WARNING: Intel GPU: Failed to initialize PMU

2024/11/29 (12:08:04) | ===> btop++ v.1.4.0
2024/11/29 (12:08:04) | WARNING: Intel GPU: Failed to initialize PMU

2024/12/04 (10:37:53) | ===> btop++ v.1.4.0
2024/12/04 (10:37:53) | WARNING: Intel GPU: Failed to initialize PMU

2024/12/04 (14:12:18) | ===> btop++ v.1.4.0
2024/12/04 (14:12:18) | WARNING: Intel GPU: Failed to initialize PMU

2024/12/14 (09:54:43) | ===> btop++ v.1.4.0
2024/12/14 (09:54:43) | WARNING: Intel GPU: Failed to initialize PMU

2024/12/14 (15:24:44) | ===> btop++ v.1.4.0
2024/12/14 (15:24:44) | WARNING: Intel GPU: Failed to initialize PMU

2024/12/19 (16:40:44) | ===> btop++ v.1.4.0
2024/12/19 (16:40:44) | WARNING: Intel GPU: Failed to initialize PMU

2024/12/27 (23:10:39) | ===> btop++ v.1.4.0
2024/12/27 (23:10:39) | WARNING: Intel GPU: Failed to initialize PMU

2024/12/27 (23:11:48) | ===> btop++ v.1.4.0
2024/12/27 (23:11:48) | WARNING: Intel GPU: Failed to initialize PMU

2024/12/27 (23:18:03) | ===> btop++ v.1.4.0
2024/12/27 (23:18:03) | WARNING: Intel GPU: Failed to initialize PMU

2025/01/07 (14:13:07) | ===> btop++ v.1.4.0
2025/01/07 (14:13:07) | WARNING: Intel GPU: Failed to initialize PMU

2025/01/07 (14:35:38) | ===> btop++ v.1.4.0
2025/01/07 (14:35:38) | WARNING: Intel GPU: Failed to initialize PMU

2025/01/08 (09:56:59) | ===> btop++ v.1.4.0
2025/01/08 (09:56:59) | WARNING: Intel GPU: Failed to initialize PMU

2025/01/08 (09:57:34) | ===> btop++ v.1.4.0
2025/01/08 (09:57:34) | WARNING: Intel GPU: Failed to initialize PMU

2025/01/08 (13:21:54) | ===> btop++ v.1.4.0
2025/01/08 (13:21:54) | WARNING: Intel GPU: Failed to initialize PMU

2025/01/13 (15:47:40) | ===> btop++ v.1.4.0
2025/01/13 (15:47:40) | WARNING: Intel GPU: Failed to initialize PMU
